state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	default.ucld.mean	default.ucld.stdev	binary_loc.clock.rate	default.meanRate	default.coefficientOfVariation	default.covariance	binary_loc.meanRate	binary_loc.rates.Other.PEAL	binary_loc.rates.PEAL.Other	default.treeLikelihood	default.branchRates	binary_loc.branchRates	c_binary_loc.count[1]	c_binary_loc.OthertoPEAL[1]	c_binary_loc.PEALtoOther[1]	coalescent
10000	-17154.460800365454	-1086.6018820707945	-16067.85891829466	2.193210224449251	2015.8698034741808	17.58323093304585	2.5702820285371892	0.8865789986269326	18.23673118125563	0.2606613519185641	0.21219955433152402	0.2892769325463702	0.2378621612035418	0.0389210310202669	0.6271609643035718	0.8616558950390151	0.0013151259542415281	2.781492099712956	0.051031191049278266	0.8616558950390156	0.7582965358170685	0.6603856066322975	-15996.522746466455	-910.0051831267147	0.0	36.0	11.0	16.0	-149.78708742871925
20000	-16927.727542236622	-1056.8808925622398	-15870.84664967438	1.0932006277901907	2016.96981307084	11.509110447016564	3.2745781364987563	3.516307904096081	14.686715027375321	0.26810355685991977	0.20735614067848726	0.2936902441384543	0.2308500583231387	0.016375927231826393	0.1404733909515191	0.7086601534561963	0.0017162777474683335	2.2020605117860486	0.17051903590463896	0.7086601534561956	0.9749719892870969	0.36981490686684887	-15818.050668219365	-910.0051831267147	0.0	18.0	14.0	6.0	-129.3935102710114
30000	-16650.556403506267	-1053.7607947194308	-15596.795608786835	0.6399559432573787	2017.4230577553728	9.919408754806286	9.89614322459309	9.044948825491161	22.36697332391083	0.2584465582535651	0.21007734313834636	0.2952796355297118	0.23619646307837677	0.00653035822318661	0.025474429212323232	0.8365814458531944	0.00177908546660936	1.886728302521905	0.1656304433301321	0.8365814458531946	2.0722362908686924	1.0420528864513028	-15550.193381313828	-910.0051831267147	0.0	16.0	12.0	6.0	-122.93296412949978
40000	-16496.92059124122	-1045.357074221492	-15451.56351701973	0.4841610139968675	2017.5788526846334	9.124324737772268	13.536274805019447	10.988393601740238	12.068054917146041	0.26878094184818563	0.2104331201950837	0.28308949301036	0.23769644494637082	0.004316820328211818	0.01533447523252647	1.0054316049417509	0.0018193459297225908	1.3991973265581237	0.13629651427051145	1.0054316049417513	0.6938141402419958	0.135059085934098	-15405.762377209856	-910.0051831267147	0.0	19.0	12.0	6.0	-117.0031301454693
50000	-16322.05722208662	-1049.1149989588039	-15272.942223127817	0.5465299958652861	2017.5164837027648	9.753814837674275	9.70065478330672	8.040017281802516	11.507209955840247	0.2663892011042789	0.21671411620383907	0.28624026982819095	0.23065641286369123	0.0031058706520670975	0.018783446065847156	0.39391029214174167	0.0010725372670374333	2.263962187386168	0.024987645559090263	0.39391029214174184	1.7844666109219636	0.4903702656729358	-15232.90149691751	-910.0051831267147	0.0	12.0	10.0	2.0	-125.81954521966726
60000	-16290.025675408915	-1062.6153621365088	-15227.410313272407	0.6335392673350871	2017.4294744312951	11.81756191810981	7.244971608967864	5.69542940981483	14.120173476448858	0.2646644123583607	0.21168839134919154	0.2804390889883409	0.24320810730410708	0.003330603501166892	0.018337529061572155	0.19290331117630083	9.871491608431993E-4	2.2440022464130993	0.03941853726225633	0.19290331117630083	0.6302986824823422	0.25544961292951945	-15181.778421628514	-910.0051831267147	0.0	11.0	7.0	4.0	-142.6991896273965
70000	-16295.941473836563	-1094.458800699851	-15201.482673136712	0.9701502325380428	2017.092863466092	16.20948144672701	8.872486281067978	4.092900896681992	14.782508306645536	0.272977799836926	0.2120326135272268	0.287007933137375	0.22798165349847235	0.00211156229255214	0.015893046275182714	0.2238155276495618	6.799845280420207E-4	2.3117765901849543	-0.020124104468666595	0.2238155276495617	0.826695496671828	0.41192997388667957	-15168.470622348908	-910.0051831267147	0.0	10.0	9.0	1.0	-173.03324663491495
80000	-16285.745832697292	-1079.079060008547	-15206.666772688744	0.8193435088342811	2017.243670189796	13.590058223370162	7.79618788381953	5.293971314526888	9.811441678173326	0.264886050190939	0.21808028545168248	0.29361097539680414	0.22342268896057463	0.0011669878584804688	0.004425698033565366	0.4307799837281647	7.675650320689213E-4	2.6489795816015462	-0.038173468479206316	0.43077998372816434	0.6646757648568263	0.5924791179539907	-15161.931717073976	-910.0051831267147	0.0	14.0	12.0	2.0	-156.1776821622822
90000	-16272.353999028714	-1074.4317894596497	-15197.922209569064	0.7883077049879645	2017.274705993642	12.765826641169815	5.409788157120542	4.7755191379838395	11.813060893387759	0.26494668453446685	0.20848899633619158	0.29220822575524746	0.2343560933740944	0.0013130682843430948	0.00377876827900341	0.42901850831387456	8.873164763266204E-4	2.1567905335220585	-0.01214004616251479	0.4290185083138742	1.3024899479061045	0.831819968983137	-15159.078290480547	-910.0051831267147	0.0	11.0	9.0	3.0	-150.94649698337838
100000	-16238.826733623107	-1053.521463117493	-15185.305270505614	0.7395634832331351	2017.323450215397	11.031356509084283	4.335763010168953	4.856749524538936	12.208183078158907	0.2672509134343828	0.20159906087163484	0.2999805005420628	0.23116952515191988	0.001709508660776569	0.007692761321728669	0.39188353861745023	0.001016565577146254	1.5122785384806985	0.05671303555371218	0.39188353861745023	1.176777499147187	0.3738506524650202	-15154.601792666836	-910.0051831267147	0.0	8.0	6.0	2.0	-131.68853097443457
110000	-16217.210759406202	-1065.1001017738795	-15152.110657632322	0.7722394043916799	2017.2907742942384	12.620457081517719	5.862069609791855	4.671067091242042	8.363743475695015	0.2680510318570064	0.21496513057130637	0.2916232086076275	0.22536062896406014	0.002500169006497559	0.025167596787053475	0.16709291648572122	8.085832053989035E-4	1.711754607944439	0.03821338887412447	0.16709291648572122	1.7431248064584455	0.7904505726834377	-15115.107215917105	-910.0051831267147	0.0	8.0	7.0	1.0	-145.19284015224764
120000	-16200.473942586697	-1051.148602752933	-15149.325339833764	0.7611524045965056	2017.3018612940336	10.798035813548573	4.144446968373363	5.441501596821123	19.249163323286936	0.26025957529010113	0.21446223730496744	0.2956756249179484	0.22960256248698344	0.0034937583164027807	0.04039533608061964	0.18948158905987333	0.0011104029930621272	1.7757753475679157	-0.06273067982326994	0.18948158905987333	1.998639136076821	0.7792484261553044	-15124.457629803992	-910.0051831267147	0.0	6.0	5.0	1.0	-129.31359473230376
130000	-16203.143938516856	-1076.412235639437	-15126.73170287742	0.6294104343207735	2017.4336032643093	12.482307208913078	10.863883361910997	7.713044488235948	12.804727892689401	0.2663379912218214	0.21398902987975835	0.28568170894003175	0.2339912699583891	0.0022890749966786098	0.02680770981668956	0.3961724987865502	7.764781312785127E-4	1.825715450501808	-0.07129693207784984	0.3961724987865502	4.450891895900168	0.34810354092412366	-15094.906331496863	-910.0051831267147	0.0	9.0	8.0	1.0	-149.5384550766539
140000	-16222.518906058127	-1079.9367473562993	-15142.582158701827	0.6976317595615725	2017.3653819390686	13.227918390151142	12.568499977293547	7.331272937419054	14.90330767003316	0.2699372187232085	0.20307162507592827	0.28175587044195355	0.24523528575891027	0.0017232797998776484	0.007156622683457835	0.5320219273677061	7.535003777844444E-4	1.6485907946623215	0.04343144676530702	0.532021927367706	0.6040559295509224	0.0760424199081462	-15108.720234585646	-910.0051831267147	0.0	13.0	10.0	1.0	-154.74664785595286
