taxa	binary_loc
New_NHP|2672|Brazil|SP|SaoPaulo_North|Alouatta|2017-12-17	Other
New_NHP|2673|Brazil|SP|SaoPaulo_North|Alouatta|2017-12-17	Other
New_NHP|2674|Brazil|SP|SaoPaulo_North|Alouatta|2017-12-17	Other
New_NHP|2675|Brazil|SP|SaoPaulo_North|Alouatta|2017-12-18	Other
New_NHP|2676|Brazil|SP|SaoPaulo_North|Alouatta|2017-12-15	Other
New_NHP|2680|Brazil|SP|SaoPaulo_North|Alouatta|2017-12-14	Other
New_NHP|2683|Brazil|SP|SaoPaulo_North|Alouatta|2017-12-15	Other
New_NHP|2691|Brazil|SP|SaoPaulo_North|Alouatta|2017-12-08	Other
New_NHP|2701|Brazil|SP|SaoPaulo_North|Alouatta|2017-12-07	Other
New_NHP|3202|Brazil|SP|SaoPaulo_North|Alouatta|2018-01-15	Other
New_NHP|73553|Brazil|SP|SaoPaulo|73553|Alouatta|2017-11-25	Other
New_NHP|73816|Brazil|SP|SaoPaulo|Alouatta|2017-12-05	Other
New_NHP|73820|Brazil|SP|SaoPaulo|Alouatta|2017-12-05	Other
New_NHP|73821|Brazil|SP|SaoPaulo|Alouatta|2017-12-05	Other
New_NHP|73941|Brazil|SP|SaoPaulo|Alouatta|2017-12-08	Other
New_NHP|73943|Brazil|SP|SaoPaulo|Alouatta|2017-12-08	Other
New_NHP|74142|Brazil|SP|SaoPaulo|Alouatta|2017-12-19	Other
New_NHP|74342|Brazil|SP|SaoPaulo|Alouatta|2017-12-27	Other
New_NHP|74718|Brazil|SP|SaoPaulo|Alouatta|2018-01-03	Other
New_NHP|74747|Brazil|SP|SaoPaulo|Alouatta|2018-01-04	Other
New_NHP|74748|Brazil|SP|SaoPaulo|Alouatta|2018-01-04	Other
New_NHP|74749|Brazil|SP|SaoPauloL|Alouatta|2018-01-04	Other
